Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A633943,11913 Leda Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,Miniature Pinscher Mix,Brown,Neutered Male,positive,1649,1632
A688667,6300 Blk 1327 in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black,Spayed Female,positive,72,62
A792663,San Chisolm in Austin (TX),Stray,Normal,Dog,Intact Male,Siberian Husky,Red/Buff,Neutered Male,positive,742,730
A726264,Cromwell in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Cream Tabby,Spayed Female,positive,65,61
A710466,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Siberian Husky Mix,Sable,Spayed Female,positive,1831,1826
A688785,4812 Nuckols Crossing in Austin (TX),Stray,Normal,Dog,Intact Male,American Bulldog Mix,Brown/White,Intact Male,negative,737,730
A711115,13304 Wright Rd in Travis (TX),Stray,Normal,Dog,Intact Male,Black Mouth Cur/Catahoula,Black Brindle/White,Neutered Male,positive,81,77
A748332,1105 Brookwood in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black Tabby,Neutered Male,positive,81,22
A792617,Austin (TX),Public Assist,Normal,Dog,Intact Male,Jack Russell Terrier Mix,White/Brown,Neutered Male,positive,1236,1095
A698020,Bannock Ln And Rosborogh Dr in Austin (TX),Stray,Sick,Dog,Intact Male,Chihuahua Shorthair/Rat Terrier,White/Black,Neutered Male,positive,315,304
A684488,Austin (TX),Public Assist,Normal,Dog,Neutered Male,Australian Shepherd/Pit Bull,Black Brindle/White,Neutered Male,positive,792,782
A604708,5017 Us 290 in Austin (TX),Stray,Normal,Dog,Neutered Male,Pit Bull Mix,Brown/White,Neutered Male,positive,1898,1896
A679963,7125 Howerington Cir in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Spayed Female,positive,139,36
A772572,Stonelake Boulevard And Capitol Of Texas Highway in Austin (TX),Stray,Normal,Dog,Intact Male,Boxer/Australian Kelpie,Tan/White,Neutered Male,positive,282,273
A706337,4703 Crest Oak in Austin (TX),Stray,Normal,Cat,Intact Female,Siamese Mix,Seal Point,Intact Female,positive,183,182
